"stat","value"
"num_rows_csv","9237"
"num_users","2862"
"one_dataset_users","2224"
"mult_dataset_users","638"
"interaction_events","6998"
"num_nodes","3790"
"num_edges","170719"
"med_degree","35"
"mean_degree","90.09"
"max_degree","372"
"num_degree_one","154"
"net_density","0.0238"
"avg_short_path","3.91"
"net_diameter","10"
"net_components","165"
"net_modularity","0.7889"
