pid,user_id
doi_10_18739_A2000001N.xml,a1cc56f7-9f1f-4e02-81de-58ee59855766
doi_10_18739_A20000024.xml,ddfca72f-871d-490f-8cf1-2c02023edf94
doi_10_18739_A20005.xml,db2c375a-39c3-436d-bc91-b9e0e19448b5
doi_10_18739_A2002X.xml,705cae76-aada-4820-a00b-0fdab95d607e
doi_10_18739_A20052.xml,de51607a-136f-487f-bc6e-10344ae4613b
doi_10_18739_A2006F.xml,56cdd93e-5206-456e-a9b5-338df0053aff
doi_10_18739_A2009K.xml,8a6af1a3-42c4-45eb-bdfc-c798f017fd9e
doi_10_18739_A2020V.xml,d5ce9d8c-4a1d-49d6-ab24-ad4b98b0d7d1
doi_10_18739_A2027H.xml,4c2a4c9c-ab6c-4abb-b9f5-f748e81dcff1
doi_10_18739_A2027H.xml,1f99a5a3-edbb-4301-a5df-59d10e560366
doi_10_18739_A2027H.xml,c68470a8-6a32-4236-a745-fb5e4b83c261
doi_10_18739_A2027H.xml,c37f0f46-7e6a-4d7f-918a-4fecc4de8f79
doi_10_18739_A2027H.xml,bb0a420b-759d-4234-b94e-1b37d300ef62
doi_10_18739_A2028PC41.xml,d8e64b36-55cb-464c-b7b3-f239669eb37f
doi_10_18739_A2028PC41.xml,ff1edf85-efd7-4ce3-9de1-2f306eca30d2
doi_10_18739_A2028PC7G.xml,3c12c68d-9c57-46ee-ba75-f4217360969e
doi_10_18739_A2028PC7G.xml,55fbb637-755c-4fb0-91b3-151c0596b598
doi_10_18739_A2028PC7G.xml,fbcefa42-79bc-455a-a1bc-a87bcfb46821
doi_10_18739_A2028PC7G.xml,14f486cb-bfcc-4a4e-bd03-fe8e8cd02a58
doi_10_18739_A2028PC7G.xml,d893a445-531d-4cef-9e14-7f4fde7d977f
doi_10_18739_A2028W.xml,4e2b53d1-531e-4b0e-be3f-c3f1db31c553
doi_10_18739_A2028W.xml,915a7742-9d99-425b-a880-538db488371f
doi_10_18739_A20298.xml,c708fbb4-53d0-46ef-a678-5f3290cbddf9
doi_10_18739_A20298.xml,45e2555f-4db2-4b91-9890-444f227a115b
doi_10_18739_A20298.xml,fd6e0567-cae1-44fc-8c3f-ecac3d7cc4f6
doi_10_18739_A20298.xml,0fd873c4-235b-4b0f-897e-d206e80000fa
doi_10_18739_A20298.xml,bfa087e6-f08e-4866-8dad-a79d6dcb7871
doi_10_18739_A20298.xml,bb1ba0cd-031d-46cc-ad53-05f0fdd6c00e
doi_10_18739_A20298.xml,dfbe3806-460f-4aab-8542-bcaaae23f9fc
doi_10_18739_A20298.xml,5f2f638f-2d2c-4f12-9923-cd94c1645c6c
doi_10_18739_A20298.xml,618f64aa-e005-4b68-87d1-985597fefa9d
doi_10_18739_A20306.xml,c6c162c0-45a1-4c23-baba-446a4e4e4c6a
doi_10_18739_A20306.xml,f4c3431d-bb9e-4f5a-b11a-2363be11c17b
doi_10_18739_A20306.xml,1d6aa89d-568e-4c33-8819-1801212c8f7f
doi_10_18739_A20306.xml,56117ec2-03c8-43e1-b8de-32bfebcb752b
doi_10_18739_A20306.xml,a5c9409d-3356-4126-964a-1885cc8d7416
doi_10_18739_A20306.xml,f1e5cf87-bba2-44cf-a02e-f4f28b729142
doi_10_18739_A2033B.xml,f3a09e28-51ec-4b1b-b232-29e42837e641
doi_10_18739_A2034Q.xml,105c63c5-e158-4df5-80ff-bf25347e0aef
doi_10_18739_A2034Q.xml,2efe8961-e06c-485c-8dc0-5709a2004155
doi_10_18739_A20353.xml,c60de9f8-1a77-4b60-9b1d-aeac539eeed8
doi_10_18739_A2036G.xml,ad680525-9152-44f0-b9b7-85c19f0ca84b
doi_10_18739_A2036G.xml,e9da7b9d-d24c-4ea6-bb11-5da1a29813b7
doi_10_18739_A2052N.xml,b6a1fb51-2e8b-433a-83ba-72d82a271abf
doi_10_18739_A20531.xml,4c2a4c9c-ab6c-4abb-b9f5-f748e81dcff1
doi_10_18739_A20531.xml,26ca27c4-5146-4424-af96-be548ec78efe
doi_10_18739_A20531.xml,aefcde36-a55d-425b-b490-74bed4cc6214
doi_10_18739_A20531.xml,c37f0f46-7e6a-4d7f-918a-4fecc4de8f79
