"stat","value"
"num_rows_csv",NA
"num_users","6717"
"one_dataset_users","3132"
"mult_dataset_users","3585"
"interaction_events","57181"
"num_nodes","29454"
"num_edges","2342733"
"med_degree","104"
"mean_degree","159.08"
"max_degree","890"
"num_degree_one","222"
"net_density","0.0054"
"avg_short_path","5.09"
"net_diameter","15"
"net_components","272"
"net_modularity","0.6399"
